"";"env_point";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";-0,74175482358101;"Anti-immigration party";0,13;0,05;0,008;0,1198;0,03;0,23
"2";0,00570058845224889;"Anti-immigration party";0,08;0,05;0,0664;0,6639;-0,01;0,17
"3";0,753156000485508;"Anti-immigration party";0,01;0,06;0,8364;1;-0,11;0,14
"4";-0,74175482358101;"Did not vote";0,15;0,04;4e-04;0,0071;0,07;0,24
"5";0,00570058845224889;"Did not vote";0,1;0,04;0,0128;0,1788;0,02;0,17
"6";0,753156000485508;"Did not vote";0,07;0,05;0,1449;1;-0,02;0,17
"7";-0,74175482358101;"Don't know";0,21;0,07;0,0042;0,0664;0,07;0,36
"8";0,00570058845224889;"Don't know";0,23;0,07;4e-04;0,0076;0,1;0,36
"9";0,753156000485508;"Don't know";0,19;0,1;0,0452;0,5246;0;0,39
"10";-0,74175482358101;"NE age";0,13;0,07;0,0701;0,6639;-0,01;0,27
"11";0,00570058845224889;"NE age";0,12;0,06;0,0437;0,5246;0;0,24
"12";0,753156000485508;"NE age";0,35;0,1;3e-04;0,006;0,16;0,53
"13";-0,74175482358101;"NE citizen";0,14;0,07;0,0376;0,4887;0,01;0,27
"14";0,00570058845224889;"NE citizen";0,1;0,06;0,1009;0,8071;-0,02;0,22
"15";0,753156000485508;"NE citizen";0,06;0,08;0,4273;1;-0,09;0,21
"16";-0,74175482358101;"NE other";-0,04;0,16;0,7899;1;-0,36;0,28
"17";0,00570058845224889;"NE other";-0,07;0,14;0,6168;1;-0,35;0,21
"18";0,753156000485508;"NE other";0,26;0,19;0,1606;1;-0,1;0,63
"19";-0,74175482358101;"Other party";0,16;0,03;0;0;0,1;0,22
"20";0,00570058845224889;"Other party";0,2;0,03;0;0;0,14;0,25
"21";0,753156000485508;"Other party";0,25;0,04;0;0;0,19;0,32
"22";-0,74175482358101;"Pro-environment party";0,24;0,07;3e-04;0,0052;0,11;0,37
"23";0,00570058845224889;"Pro-environment party";0,21;0,05;0;6e-04;0,11;0,3
"24";0,753156000485508;"Pro-environment party";0,05;0,11;0,6475;1;-0,17;0,27
