"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,05;0,11;37,34;0,4;0,688;-0,18;0,28
"age";0;0;22080,01;-5,93;0;0;0
"gender";0,03;0,01;24911,45;3,23;0,001;0,01;0,05
"educ";0,02;0;24825,57;12,68;0;0,02;0,02
"resid";-0,03;0,01;24967,99;-3,49;0;-0,05;-0,02
"occupClerical support workers";0,02;0,07;24855,68;0,3;0,762;-0,12;0,16
"occupCraft and related trades workers";-0,05;0,07;24858,75;-0,66;0,507;-0,19;0,09
"occupElementary occupations";-0,06;0,07;24862,11;-0,88;0,377;-0,2;0,08
"occupManagers";0,06;0,07;24857,28;0,78;0,434;-0,08;0,2
"occupOther: Not in paid work";-0,02;0,07;24961,15;-0,28;0,778;-0,16;0,12
"occupPlant and machine operators, and assemblers";0;0,07;24864,76;-0,03;0,977;-0,14;0,14
"occupProfessionals";0,06;0,07;24855,77;0,92;0,358;-0,07;0,2
"occupRetired";-0,12;0,08;24847,24;-1,46;0,144;-0,28;0,04
"occupService and sales workers";-0,02;0,07;24856,06;-0,3;0,763;-0,16;0,12
"occupSkilled agricultural, forestry and fishery workers";-0,04;0,08;24860,15;-0,53;0,599;-0,19;0,11
"occupTechnicians and associate professionals";0,06;0,07;24851,84;0,86;0,392;-0,08;0,2
"occupUnemployed";-0,1;0,09;24870,01;-1,21;0,225;-0,27;0,06
"refugees.lvl1";0,15;0,02;14,12;7,05;0;0,1;0,19
