"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,06;0,16;24,5;0,37;0,711;-0,27;0,4
"age";0;0;24677,79;-2,69;0,007;0;0
"gender";0,06;0,01;24867,92;5,87;0;0,04;0,09
"educ";0,02;0;24989,31;12,52;0;0,02;0,02
"resid";-0,08;0,01;24901,2;-7,18;0;-0,1;-0,06
"occupClerical support workers";-0,02;0,08;24838,29;-0,25;0,802;-0,17;0,13
"occupCraft and related trades workers";-0,1;0,08;24842,39;-1,32;0,188;-0,26;0,05
"occupElementary occupations";0;0,08;24842,22;0,02;0,986;-0,15;0,16
"occupManagers";0,05;0,08;24839,36;0,58;0,561;-0,11;0,2
"occupOther: Not in paid work";0,12;0,08;24924,54;1,44;0,151;-0,04;0,27
"occupPlant and machine operators, and assemblers";-0,05;0,08;24842,98;-0,69;0,492;-0,21;0,1
"occupProfessionals";0,13;0,08;24839,51;1,66;0,096;-0,02;0,28
"occupRetired";0,01;0,09;24840,54;0,07;0,946;-0,17;0,18
"occupService and sales workers";-0,06;0,08;24839,72;-0,81;0,419;-0,21;0,09
"occupSkilled agricultural, forestry and fishery workers";-0,01;0,08;24844,05;-0,13;0,9;-0,17;0,15
"occupTechnicians and associate professionals";0;0,08;24835,97;0,01;0,995;-0,15;0,15
"occupUnemployed";-0,01;0,09;24853,7;-0,14;0,886;-0,2;0,17
