"";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,09;0,04;0,0128;0,0642;0,02;0,16
"2";"Did not vote";0,13;0,03;2e-04;0,0011;0,06;0,19
"3";"Don't know";0,19;0,05;1e-04;5e-04;0,1;0,29
"4";"Invalid vote";0,2;0,46;0,6604;1;-0,71;1,11
"5";"NE age";0,21;0,05;0;0;0,12;0,3
"6";"NE citizen";0,1;0,04;0,0191;0,0763;0,02;0,19
"7";"NE other";0,09;0,1;0,3432;1;-0,1;0,28
"8";"No answer";0,31;0,35;0,3844;1;-0,38;1
"9";"Other party";0,2;0,03;0;0;0,14;0,25
"10";"Pro-environment party";0,18;0,04;0;1e-04;0,1;0,26
