"";"group";"polintr.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,01;0,03;0,8489;1;-0,05;0,06
"2";"Did not vote";0,04;0,02;0,1316;0,9288;-0,01;0,08
"3";"Don't know";0,06;0,04;0,1161;0,9288;-0,02;0,14
"4";"Invalid vote";0,29;0,45;0,5172;1;-0,59;1,16
"5";"NE age";0,03;0,04;0,4839;1;-0,05;0,1
"6";"NE citizen";-0,01;0,04;0,6993;1;-0,08;0,06
"7";"NE other";0,02;0,09;0,8308;1;-0,15;0,18
"8";"No answer";0,26;0,66;0,6901;1;-1,04;1,57
"9";"Other party";0,08;0,02;0;1e-04;0,04;0,11
"10";"Pro-environment party";0,14;0,03;0;1e-04;0,08;0,2
