"";"group";"polnews.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,02;0,396;1;-0,02;0,05
"2";"Did not vote";0;0,02;0,8835;1;-0,03;0,03
"3";"Don't know";-0,03;0,03;0,2947;1;-0,09;0,03
"4";"Invalid vote";0,22;0,42;0,5998;1;-0,6;1,03
"5";"NE age";0;0,03;0,853;1;-0,05;0,04
"6";"NE citizen";-0,01;0,03;0,7673;1;-0,06;0,04
"7";"NE other";-0,04;0,06;0,5681;1;-0,16;0,09
"8";"No answer";-0,19;0,41;0,6502;1;-1;0,62
"9";"Other party";0,02;0,01;0,0219;0,2194;0;0,04
"10";"Pro-environment party";0,02;0,02;0,4355;1;-0,03;0,06
