"";"group";"env.news.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,01;0,02;0,64;1;-0,06;0,03
"2";"Did not vote";0,01;0,02;0,5855;1;-0,02;0,04
"3";"Don't know";-0,01;0,04;0,779;1;-0,08;0,06
"4";"Invalid vote";-1,36;1,48;0,3588;1;-4,26;1,54
"5";"NE age";-0,02;0,04;0,6591;1;-0,09;0,06
"6";"NE citizen";0,12;0,03;2e-04;0,0021;0,05;0,18
"7";"NE other";-0,01;0,08;0,9345;1;-0,17;0,16
"8";"No answer";-0,1;0,6;0,8715;1;-1,28;1,08
"9";"Other party";-0,01;0,01;0,3356;1;-0,03;0,01
"10";"Pro-environment party";0,01;0,03;0,8468;1;-0,05;0,06
