"";"group";"engagement.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,03;0,4612;1;-0,03;0,08
"2";"Did not vote";0,02;0,02;0,3439;1;-0,02;0,07
"3";"Don't know";0,01;0,04;0,9004;1;-0,08;0,09
"4";"Invalid vote";0,45;0,57;0,436;1;-0,68;1,57
"5";"NE age";0,01;0,04;0,7532;1;-0,06;0,09
"6";"NE citizen";-0,02;0,04;0,6173;1;-0,09;0,05
"7";"NE other";-0,03;0,09;0,7115;1;-0,21;0,14
"8";"No answer";-0,26;0,96;0,7906;1;-2,15;1,63
"9";"Other party";0,07;0,02;0;1e-04;0,04;0,1
"10";"Pro-environment party";0,1;0,03;0,0026;0,0232;0,03;0,16
