"";"group";"env.eng.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,03;0,4416;1;-0,04;0,08
"2";"Did not vote";0,02;0,02;0,3756;1;-0,03;0,07
"3";"Don't know";0,01;0,05;0,8783;1;-0,09;0,11
"4";"Invalid vote";-1,21;1,34;0,367;1;-3,83;1,42
"5";"NE age";0,04;0,05;0,457;1;-0,06;0,13
"6";"NE citizen";0,19;0,04;0;0;0,11;0,27
"7";"NE other";-0,01;0,11;0,9546;1;-0,22;0,21
"8";"No answer";-0,38;1,42;0,7863;1;-3,16;2,39
"9";"Other party";0,01;0,02;0,6413;1;-0,02;0,04
"10";"Pro-environment party";-0,02;0,04;0,7076;1;-0,09;0,06
