"";"cntry";"slope_with_covs";"slope_without_covs";"observed_r";"partial_r";"n";"partial_r.se";"country"
"1";"AT";0,290111271594947;0,304579485756899;0,213129475959127;0,195153750146027;1775;0,023755716907279;"Austria"
"2";"BE";0,212791045815894;0,241160768037748;0,213739574440487;0,164462104923663;1690;0,0243468319832992;"Belgium"
"5";"EE";0,00230793837093088;0,0202345980912985;-0,0100894778531634;-0,0189168835026379;1884;0,0230571487955358;"Estonia"
"7";"FI";0,28708308441125;0,32624638247098;0,316259703179243;0,286604153881642;1808;0,0235375576578925;"Finland"
"4";"DE";0,285943248182228;0,308039315752975;0,276838117440954;0,25789625170392;2668;0,0193709711056515;"Germany"
"8";"GB";0,27084617815144;0,301107285289493;0,291922290682526;0,250976278844069;1786;0,0236823245437099;"Great Britain"
"9";"IE";0,149653190661644;0,176114419407254;0,214934434614145;0,18443782978566;2271;0,0209980262782904;"Ireland"
"10";"IT";0,118719275961062;0,140317494928031;0,116823446111941;0,111092132373023;1991;0,0224280652008128;"Italy"
"11";"NL";0,0978723439280741;0,120730121798377;0,205810418539029;0,169822524285935;1402;0,0267356743520587;"Netherlands"
"12";"NO";0,218283478352532;0,263686671887734;0,356749953923963;0,301906165562321;1499;0,025854384499751;"Norway"
"13";"PT";0,0857229575670543;0,136916748286095;0,188541762280385;0,148690214506315;1127;0,0298274993135947;"Portugal"
"15";"SI";0,0862849169475702;0,10910063990371;0,031047838150702;0,0182119745812044;1148;0,0295527062282771;"Slovenia"
"6";"ES";0,126566032499998;0,150312672137502;0,16575246388465;0,146474531117382;1267;0,0281271975231506;"Spain"
"14";"SE";0,173362974703591;0,204211778883681;0,259195231814598;0,213957846917782;1346;0,0272873897271909;"Sweden"
"3";"CH";0,192830071735977;0,212560686073134;0,255446487646632;0,218468743548605;1342;0,0273281171972098;"Switzerland"
