"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"1";"AT: BZÖ";0,126235520079705;0,14435083933206;0,416346791674651;0,448930325088959;1775;0,0359448940513186;7;1;0
"2";"AT: did not vote";0,037676199771177;0,0520045652395096;0,327787471366124;0,356584050996408;1775;0,0325808796451494;264;0;0
"3";"AT: Don't know";0,147437230344458;0,169577334305264;0,437548501939405;0,474156820062163;1775;0,113490563597382;30;0;0
"4";"AT: FPÖ";0,13919720275165;0,159758612288848;0,429308474346597;0,464338098045747;1775;0,244675886927382;223;1;0
"5";"AT: Grüne";0,347824515977979;0,396262961009767;0,637935787572925;0,700842446766666;1775;0,39018646507188;171;0;1
"6";"AT: NEOS";0,179809627453458;0,208052813461872;0,469920899048405;0,512632299218771;1775;0,221040208804179;30;0;0
"7";"AT: not eligible: age";0,214127471465182;0,244114449172634;0,504238743060129;0,548693934929532;1775;0,170613916110994;17;0;0
"8";"AT: not eligible: citizenship";0,225246207927655;0,264155692597864;0,515357479522602;0,568735178354763;1775;0,131920144310917;70;0;0
"9";"AT: not eligible: other";0,208665689235925;0,245635008135513;0,498776960830872;0,550214493892411;1775;0,300031974339164;8;0;0
"10";"AT: Other";0,232028717091497;0,273113231231962;0,522139988686443;0,57769271698886;1775;0,388108345729655;17;0;0
"11";"AT: Refusal";0,161350076490735;0,192104257507507;0,451461348085682;0,496683743264406;1775;0,168343441198477;172;0;0
"12";"AT: SPÖ";0,199249687368993;0,221549603106086;0,489360958963939;0,526129088862985;1775;0,176236253545857;435;0;0
"13";"AT: Team Frank Stronach";0,127320273512334;0,147204336008669;0,417431545107281;0,451783821765568;1775;-0,033940561055417;17;0;0
"14";"AT: ÖVP";0,134840478023402;0,153340264760551;0,424951749618349;0,45791975051745;1775;0,132586534440231;314;0;0
"15";"BE: CD&V";0,207045850174257;0,246228979364064;0,419836895990152;0,487389747401812;1690;0,368245829790206;155;0;0
"16";"BE: CDH";0,203526889897352;0,23493268406231;0,416317935713247;0,476093452100058;1690;0,0346765161419871;40;0;0
"17";"BE: did not vote";0,190914655066479;0,217812348096719;0,403705700882373;0,458973116134467;1690;0,24243443398184;114;0;0
"18";"BE: Don't know";0,109019997690887;0,130287413259731;0,321811043506782;0,371448181297479;1690;-0,00215990354441956;66;0;0
"19";"BE: Ecolo";0,2175679575059;0,255829716566343;0,430359003321794;0,496990484604091;1690;0,17819322273058;58;0;1
"20";"BE: Groen!";0,15458589468931;0,183439920639261;0,367376940505204;0,424600688677009;1690;0,00136929247713282;77;0;1
"21";"BE: MR";0,204765921567026;0,231729822363363;0,417556967382921;0,472890590401111;1690;0,226531492963036;124;0;0
"22";"BE: N-VA";0,00523938914227423;0,0185183802097326;0,218030434958169;0,259679148247481;1690;-0,0186325394315792;254;1;0
"23";"BE: not eligible: age";0,201606223056405;0,218330721133061;0,4143972688723;0,459491489170809;1690;0,196148708497724;154;0;0
"24";"BE: not eligible: citizenship";0,226783942722899;0,273535878337838;0,439574988538794;0,514696646375586;1690;0,207660759858065;81;0;0
"25";"BE: not eligible: other";0,211066514387383;0,243468286406346;0,423857560203278;0,484629054444094;1690;0,0665692596859814;8;0;0
"26";"BE: Open VLD";0,0828336249871232;0,102925608571157;0,295624670803018;0,344086376608905;1690;0,0493854553501548;97;0;0
"27";"BE: Other";0,186416433979276;0,217892866143656;0,39920747979517;0,459053634181404;1690;0,393380947072464;56;0;0
"28";"BE: Parti Populaire";0,131895854935254;0,158267650142703;0,344686900751148;0,399428418180451;1690;-0,357629483073424;5;1;0
"29";"BE: PS";0,229045115643848;0,258735817890833;0,441836161459743;0,499896585928581;1690;0,20086281542639;170;0;0
"30";"BE: PTB";0,212145545674952;0,248378953675015;0,424936591490846;0,489539721712763;1690;0,132248436699997;28;0;0
"31";"BE: PVDA+";0,253540080110808;0,291390231550617;0,466331125926703;0,532550999588365;1690;0,775501682289;18;0;0
"32";"BE: Refusal";0,151227895536543;0,173659572181155;0,364018941352437;0,414820340218903;1690;0,238970781119851;49;0;0
"33";"BE: SP.A";0,229757491329549;0,261359107473774;0,442548537145443;0,502519875511522;1690;0,378314794447506;106;0;0
"34";"BE: Vlaams Belang";0,0722025332012169;0,0741575531250377;0,284993579017111;0,315318321162786;1690;0,218801297987361;30;1;0
"35";"CH: Blank";0,147729127149082;0,165944364871654;0,340559198885059;0,378505050944787;1342;0,437973513293814;13;0;0
"36";"CH: Christian Democratic Party";0,205206841954222;0,233980251386249;0,398036913690198;0,446540937459383;1342;0,321087005460279;105;0;0
"37";"CH: Conservative Democratic Party";0,139986222040181;0,161485923018288;0,332816293776158;0,374046609091422;1342;0,0677224855229182;23;0;0
"38";"CH: did not vote";0,135675672645082;0,15561844738519;0,328505744381059;0,368179133458324;1342;0,134207395486863;320;0;0
"39";"CH: Don't know";0,196947686473313;0,231446155230836;0,38977775820929;0,444006841303969;1342;0,434056515977458;63;0;0
"40";"CH: Evangelical People's Party";0,207137275256658;0,238493823986414;0,399967346992634;0,451054510059548;1342;0,123087822951599;13;0;0
"41";"CH: FDP. The Liberals";0,147155418694026;0,172791777274898;0,339985490430003;0,385352463348032;1342;0,155925248864054;127;0;0
"42";"CH: Federal Democratic Union";0,188228069585806;0,218100696844986;0,381058141321783;0,430661382918119;1342;1;2;1;0
"43";"CH: Green Liberal Party";0,162261103405999;0,200839489236646;0,355091175141975;0,41340017530978;1342;-0,0256752195108076;40;0;0
"44";"CH: Green Party";0,223369457205369;0,263084794327879;0,416199528941345;0,475645480401013;1342;0,153421480104527;59;0;1
"45";"CH: not eligible: age";0,171737818549705;0,196947005234707;0,364567890285682;0,409507691307841;1342;0,10110217604005;59;0;0
"46";"CH: not eligible: citizenship";0,199072197889663;0,228302989296914;0,39190226962564;0,440863675370047;1342;0,263520878538478;188;0;0
"47";"CH: not eligible: other";0,170815206469563;0,197157783630984;0,36364527820554;0,409718469704118;1342;-0,290871727894452;6;0;0
"48";"CH: Other";0,230268183967255;0,263374239996881;0,423098255703232;0,475934926070015;1342;0,285317079367283;53;0;0
"49";"CH: Refusal";0,122603441393397;0,14237070174291;0,315433513129373;0,354931387816043;1342;-0,527614780098696;10;0;0
"50";"CH: Social Democratic Party";0,206814762154395;0,245109344381272;0,399644833890372;0,457670030454406;1342;0,245632063761666;124;0;1
"51";"CH: Swiss People's Party";0,0939962442495624;0,104300378269647;0,286826315985539;0,316861064342781;1342;0,140783235237452;135;1;0
"52";"CH: Ticino League";0,181253053168909;0,207131413670502;0,374083124904886;0,419692099743635;1342;-1;2;1;0
"53";"DE: AfD";0,0576235494724543;0,0688240560844621;0,343566797654682;0,376863371837437;2668;0,0241798068848168;57;1;0
"54";"DE: Bündnis 90/ Die Grünen";0,174623322545607;0,214418805526954;0,460566570727835;0,52245812127993;2668;0,125409234170715;227;0;1
"55";"DE: CDU/CSU";0,163544259353612;0,184188693685009;0,449487507535839;0,492228009437984;2668;0,254835606983806;662;0;0
"56";"DE: did not vote";0,126525785061955;0,150511769770965;0,412469033244183;0,458551085523941;2668;0,176964713227639;353;0;0
"57";"DE: Die Linke";0,280748721005858;0,31768170878246;0,566691969188086;0,625721024535435;2668;0,430764099832714;184;0;0
"58";"DE: Don't know";0,169382701139573;0,200083370218614;0,455325949321801;0,50812268597159;2668;0,252340116020556;111;0;0
"59";"DE: FDP";0,145098564500978;0,174688884760455;0,431041812683206;0,482728200513431;2668;0,156766087215765;105;0;0
"60";"DE: not eligible: age";0,216927192296387;0,243031645587936;0,502870440478615;0,551070961340911;2668;0,21958701786848;210;0;0
"61";"DE: not eligible: citizenship";0,173037734674962;0,204483126174607;0,458980982857189;0,512522441927582;2668;0,137469302171611;105;0;0
"62";"DE: not eligible: other";0,208370000004936;0,245451223956286;0,494313248187164;0,553490539709261;2668;0,0444119295595293;9;0;0
"63";"DE: NPD";0,144401131757278;0,163201182416044;0,430344379939506;0,471240498169019;2668;0,6410918438752;9;1;0
"64";"DE: Other";0,187080991909667;0,218773903997893;0,473024240091894;0,526813219750868;2668;0,447142110119326;23;0;0
"65";"DE: Piratenpartei";0,186513167174462;0,211150361127911;0,47245641535669;0,519189676880886;2668;0,403320421181284;20;0;0
"66";"DE: Refusal";0,25796029502989;0,290361001956684;0,543903543212117;0,598400317709659;2668;0,488346852319671;107;0;0
"67";"DE: SPD";0,16061180844163;0,188287070794646;0,446555056623858;0,496326386547622;2668;0,185021357827329;486;0;0
"68";"EE: did not vote";0,131738853620962;0,14978568366253;0,134046791991893;0,170020281753828;1884;-0,0737386499772062;449;0;0
"69";"EE: Don't know";0,146521803823359;0,16573586946818;0,14882974219429;0,185970467559479;1884;-0,207668709442565;46;0;0
"70";"EE: Eesti Keskerakond";0,183899681415313;0,20327552433936;0,186207619786244;0,223510122430658;1884;0,0272139574186552;263;0;0
"71";"EE: Eesti Konservatiivne Rahvaerakond";0,152154307432894;0,175625461988472;0,154462245803825;0,195860060079771;1884;0,124723112575786;70;1;0
"72";"EE: Eesti Reformierakond";0,17232175013811;0,20344994827226;0,174629688509041;0,223684546363558;1884;0,0376352318335317;343;0;0
"73";"EE: Eesti Vabaerakond";0,171907250758987;0,201926914386871;0,174215189129918;0,22216151247817;1884;0,0370322375007095;84;0;0
"74";"EE: Erakond Eestimaa Rohelised";0,198215694845413;0,230682747293079;0,200523633216344;0,250917345384378;1884;0,55656548835777;12;0;1
"75";"EE: Erakond Isamaa ja Res Publica Liit";0,163951414800092;0,193180439430538;0,166259353171023;0,213415037521836;1884;0,0201955290237042;131;0;0
"76";"EE: not eligible: age";0,214290887578611;0,24120289330515;0,216598825949541;0,261437491396449;1884;0,120633715298948;65;0;0
"77";"EE: not eligible: citizenship";0,128902326776051;0,151384560881491;0,131210265146981;0,17161915897279;1884;-0,153559582875443;175;0;0
"78";"EE: not eligible: other";0,148412139288731;0,169947591085435;0,150720077659662;0,190182189176734;1884;-0,46438606046241;7;0;0
"79";"EE: Other";0,155126087848527;0,172955979575034;0,157434026219458;0,193190577666332;1884;-0,080210419292517;34;0;0
"80";"EE: Refusal";0,161611768231605;0,193625246874105;0,163919706602536;0,213859844965404;1884;-0,0534297371185816;18;0;0
"81";"EE: Sotsiaaldemokraatlik Erakond";0,190994950752198;0,238608832875998;0,193302889123129;0,258843430967297;1884;0,122734571856139;187;0;0
"82";"ES: Blank";0,130036153314218;0,148753610605295;0,256602185814216;0,299066282742797;1267;-0,250378032685292;16;0;0
"83";"ES: CC-PCC (Coalición Canaria)";0,164916426556433;0,190220243474246;0,291482459056431;0,340532915611748;1267;0,906037162675401;6;0;0
"84";"ES: CDC-PdeCAT";0,164515023283205;0,194553529218833;0,291081055783203;0,344866201356335;1267;0,00612328785860698;16;0;0
"85";"ES: Ciudadanos";0,155525192631449;0,181307018355106;0,282091225131447;0,331619690492608;1267;0,115192879437853;134;0;0
"86";"ES: Compromís-Podemos-EUPV";0,195664630781753;0,224428009591941;0,322230663281751;0,374740681729443;1267;-0,0459968666761697;21;0;0
"87";"ES: did not vote";0,126371150389551;0,1545956012808;0,252937182889548;0,304908273418302;1267;0,072925653409424;154;0;0
"88";"ES: Don't know";0,168429073563236;0,188432918856351;0,294995106063234;0,338745590993853;1267;0,00389232034681153;19;0;0
"89";"ES: EAJ-PNV";0,177757342045883;0,215419083035959;0,304323374545881;0,365731755173461;1267;0,226241358862277;10;0;0
"90";"ES: En Comú Podem";0,201962283522785;0,230769291934891;0,328528316022783;0,381081964072393;1267;0,343201503334819;13;0;0
"91";"ES: Esquerra Republicana de Catalunya - ERC";0,194998529838066;0,227438671418787;0,321564562338063;0,377751343556289;1267;0,198191281383524;33;0;0
"92";"ES: Invalid vote";0,171468562070184;0,194141597808542;0,298034594570182;0,344454269946044;1267;0,158142149249907;8;0;0
"93";"ES: not eligible: age";0,158796189991402;0,19146703818788;0,2853622224914;0,341779710325381;1267;0,0461547655772608;39;0;0
"94";"ES: not eligible: citizenship";0,113042098052089;0,130942952360317;0,239608130552087;0,281255624497818;1267;-0,159751408951824;65;0;0
"95";"ES: not eligible: other";0,202528659921998;0,241519704521362;0,329094692421996;0,391832376658864;1267;0,0498591323913031;11;0;0
"96";"ES: Other";0,2460159338658;0,284852814758659;0,372581966365798;0,435165486896161;1267;0,595467579037472;35;0;0
"97";"ES: Partido Popular - PP";0,128028469853589;0,142761859570584;0,254594502353586;0,293074531708085;1267;0,087236635446261;237;1;0
