"";"env_point";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";-0,732651274599794;"Anti-immigration party";0,18;0,07;0,007;0,0772;0,05;0,31
"2";0,00503122136771224;"Anti-immigration party";0,12;0,06;0,0381;0,2664;0,01;0,24
"3";0,742713717335219;"Anti-immigration party";0,09;0,08;0,2844;1;-0,07;0,25
"4";-0,732651274599794;"Did not vote";0,24;0,06;0;9e-04;0,12;0,35
"5";0,00503122136771224;"Did not vote";0,19;0,05;3e-04;0,0043;0,09;0,29
"6";0,742713717335219;"Did not vote";0,14;0,06;0,0295;0,2452;0,01;0,27
"7";-0,732651274599794;"Don't know";0,29;0,11;0,006;0,0724;0,08;0,5
"8";0,00503122136771224;"Don't know";0,34;0,09;2e-04;0,0042;0,16;0,52
"9";0,742713717335219;"Don't know";0,33;0,14;0,019;0,1903;0,05;0,61
"10";-0,732651274599794;"NE age";0,28;0,1;0,0051;0,0692;0,09;0,48
"11";0,00503122136771224;"NE age";0,27;0,08;8e-04;0,0131;0,11;0,43
"12";0,742713717335219;"NE age";0,46;0,14;9e-04;0,0131;0,19;0,74
"13";-0,732651274599794;"NE citizen";0,28;0,1;0,0049;0,0692;0,08;0,47
"14";0,00503122136771224;"NE citizen";0,19;0,09;0,0272;0,2452;0,02;0,36
"15";0,742713717335219;"NE citizen";0,04;0,12;0,7117;1;-0,19;0,28
"16";-0,732651274599794;"NE other";0,22;0,21;0,312;1;-0,2;0,64
"17";0,00503122136771224;"NE other";0,07;0,19;0,7086;1;-0,3;0,45
"18";0,742713717335219;"NE other";0,12;0,26;0,6534;1;-0,4;0,64
"19";-0,732651274599794;"Other party";0,25;0,04;0;0;0,17;0,34
"20";0,00503122136771224;"Other party";0,32;0,04;0;0;0,24;0,39
"21";0,742713717335219;"Other party";0,38;0,05;0;0;0,28;0,48
"22";-0,732651274599794;"Pro-environment party";0,34;0,09;2e-04;0,0042;0,16;0,52
"23";0,00503122136771224;"Pro-environment party";0,35;0,07;0;0;0,22;0,48
"24";0,742713717335219;"Pro-environment party";0,2;0,15;0,1844;1;-0,09;0,49
