"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,16;0,03;0;0;-0,21;-0,11
"2";"Did not vote";-0,12;0,03;0;0;-0,17;-0,07
"3";"Don't know";-0,11;0,03;0,0018;0,0127;-0,18;-0,04
"4";"Invalid vote";-0,39;0,27;0,1558;0,7789;-0,93;0,15
"5";"NE age";0;0,04;0,9926;1;-0,07;0,07
"6";"NE citizen";0;0,04;0,9089;1;-0,07;0,07
"7";"NE other";0,11;0,06;0,0873;0,5241;-0,02;0,23
"8";"No answer";-0,05;0,27;0,8439;1;-0,59;0,48
"9";"Other party";-0,01;0,01;0,559;1;-0,04;0,02
"10";"Pro-environment party";0,29;0,03;0;0;0,23;0,34
