"";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,15;0,05;0,0014;0,0071;0,06;0,24
"2";"Did not vote";0,2;0,04;0;0;0,12;0,29
"3";"Don't know";0,29;0,07;0;1e-04;0,16;0,42
"4";"Invalid vote";0,23;0,74;0,7511;0,8301;-1,21;1,68
"5";"NE age";0,36;0,06;0;0;0,23;0,48
"6";"NE citizen";0,18;0,06;0,0027;0,0109;0,06;0,3
"7";"NE other";0,19;0,13;0,1376;0,4129;-0,06;0,43
"8";"No answer";0,47;0,57;0,4151;0,8301;-0,66;1,59
"9";"Other party";0,3;0,03;0;0;0,23;0,37
"10";"Pro-environment party";0,29;0,06;0;0;0,18;0,4
