"";"group";"env.intr.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,05;0,04;0,1706;1;-0,02;0,12
"2";"Did not vote";0,05;0,03;0,0961;0,7692;-0,01;0,1
"3";"Don't know";0,04;0,07;0,5793;1;-0,09;0,17
"4";"Invalid vote";-1,65;1,7;0,331;1;-4,99;1,68
"5";"NE age";0,11;0,07;0,0995;0,7692;-0,02;0,24
"6";"NE citizen";0,19;0,05;4e-04;0,004;0,08;0,29
"7";"NE other";-0,05;0,14;0,6926;1;-0,32;0,21
"8";"No answer";-2,16;4,96;0,6622;1;-11,88;7,55
"9";"Other party";0,04;0,02;0,02;0,1803;0,01;0,08
"10";"Pro-environment party";-0,01;0,05;0,8165;1;-0,12;0,09
