"";"group";"polnews.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,01;0,03;0,6732;1;-0,04;0,06
"2";"Did not vote";0;0,02;0,976;1;-0,04;0,04
"3";"Don't know";-0,04;0,04;0,3313;1;-0,12;0,04
"4";"Invalid vote";0,36;0,62;0,5637;1;-0,85;1,56
"5";"NE age";0;0,03;0,9469;1;-0,07;0,07
"6";"NE citizen";-0,01;0,04;0,7757;1;-0,08;0,06
"7";"NE other";-0,06;0,08;0,4918;1;-0,22;0,1
"8";"No answer";-0,43;0,59;0,4636;1;-1,59;0,72
"9";"Other party";0,03;0,01;0,0337;0,3374;0;0,06
"10";"Pro-environment party";0,02;0,03;0,4824;1;-0,04;0,08
