"";"group";"env.news.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,01;0,03;0,6692;1;-0,08;0,05
"2";"Did not vote";0;0,02;0,9982;1;-0,05;0,05
"3";"Don't know";0,01;0,05;0,8735;1;-0,1;0,11
"4";"Invalid vote";-1,56;2,11;0,4605;1;-5,7;2,58
"5";"NE age";0;0,05;0,9877;1;-0,1;0,1
"6";"NE citizen";0,17;0,05;3e-04;0,0026;0,08;0,26
"7";"NE other";-0,04;0,12;0,718;1;-0,27;0,18
"8";"No answer";-0,36;1,05;0,7327;1;-2,41;1,69
"9";"Other party";-0,01;0,02;0,4154;1;-0,05;0,02
"10";"Pro-environment party";0,02;0,04;0,7181;1;-0,07;0,1
