"";"group";"engagement.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,04;0,594;1;-0,05;0,09
"2";"Did not vote";0,04;0,03;0,2043;1;-0,02;0,1
"3";"Don't know";0,02;0,06;0,78;1;-0,09;0,12
"4";"Invalid vote";0,69;0,86;0,4238;1;-1;2,38
"5";"NE age";0,01;0,05;0,8767;1;-0,09;0,11
"6";"NE citizen";-0,03;0,05;0,4951;1;-0,13;0,06
"7";"NE other";0,02;0,12;0,8618;1;-0,21;0,25
"8";"No answer";-0,7;1,32;0,5956;1;-3,29;1,89
"9";"Other party";0,1;0,02;0;0;0,06;0,14
"10";"Pro-environment party";0,14;0,04;0,0013;0,0114;0,05;0,22
