"";"group";"env.eng.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,04;0,6317;1;-0,06;0,1
"2";"Did not vote";0,03;0,03;0,291;1;-0,03;0,1
"3";"Don't know";0,04;0,07;0,6205;1;-0,1;0,18
"4";"Invalid vote";-1,41;1,91;0,4606;1;-5,14;2,33
"5";"NE age";0,07;0,07;0,3439;1;-0,07;0,2
"6";"NE citizen";0,28;0,06;0;1e-04;0,16;0,4
"7";"NE other";-0,07;0,16;0,6705;1;-0,38;0,24
"8";"No answer";-1,13;2,38;0,6354;1;-5,79;3,53
"9";"Other party";0,01;0,02;0,589;1;-0,03;0,06
"10";"Pro-environment party";0,01;0,06;0,9086;1;-0,11;0,12
