"";"cntry";"slope_with_covs";"slope_without_covs";"observed_r";"partial_r";"n";"partial_r.se";"country"
"1";"AT";0,371601168010669;0,401951627811203;0,240503467769245;0,219474958238146;1775;0,023755716907279;"Austria"
"2";"BE";0,326238309525444;0,374915509968954;0,204816938512005;0,158562611354441;1690;0,0243468319832992;"Belgium"
"5";"EE";0,0245261156733459;0,0516789335491361;-0,00641382740181279;-0,0150085857172451;1884;0,0230571487955358;"Estonia"
"7";"FI";0,490823263829077;0,550686896118749;0,320122331137628;0,287486736900955;1808;0,0235375576578925;"Finland"
"8";"FR";0,28564544130259;0,32331558256747;0,268952334194372;0,232008347323158;1882;0,0230694164999396;"France"
"4";"DE";0,423737447292052;0,457617399148231;0,284281832582087;0,263601618649692;2668;0,0193709711056515;"Germany"
"9";"GB";0,349246006348851;0,383793539547753;0,302164474481623;0,259719972078325;1786;0,0236823245437099;"Great Britain"
"10";"IE";0,247153540514423;0,284267558981715;0,218300417843547;0,187720020377655;2271;0,0209980262782904;"Ireland"
"11";"IT";0,19840210012268;0,233817104232501;0,139749969872203;0,133462578687949;1991;0,0224280652008128;"Italy"
"12";"NL";0,20791859982365;0,247318932689835;0,207048281082543;0,170592725139773;1402;0,0267356743520587;"Netherlands"
"13";"NO";0,33044734756623;0,385783550979572;0,325427457320168;0,269777771885388;1499;0,025854384499751;"Norway"
"14";"PT";0,140487043173188;0,218809235284748;0,188610663568406;0,148831758923759;1127;0,0298274993135947;"Portugal"
"16";"SI";0,175362943930431;0,21587882807183;0,0349402102045283;0,0196022535997378;1148;0,0295527062282771;"Slovenia"
"6";"ES";0,215062594646794;0,258723807563867;0,18170409333929;0,162171293435038;1267;0,0281271975231506;"Spain"
"15";"SE";0,249824618087015;0,292928235490966;0,262500757489721;0,215995690792051;1346;0,0272873897271909;"Sweden"
"3";"CH";0,282293640549079;0,322706810194559;0,253619189185748;0,216700522843825;1342;0,0273281171972098;"Switzerland"
