"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"1";"AT: BZÖ";0,221575234533198;0,248596113958596;0,593176402543867;0,650547741769799;1775;0,274639808877185;7;1;0
"2";"AT: did not vote";0,126758931484819;0,148363539492185;0,498360099495487;0,550315167303388;1775;0,0425281412028632;264;0;0
"3";"AT: Don't know";0,241386958846752;0,276907212149834;0,61298812685742;0,678858839961037;1775;0,111469257689772;30;0;0
"4";"AT: FPÖ";0,182100236898219;0,197568514051155;0,553701404908888;0,599520141862358;1775;0,231678997926582;223;1;0
"5";"AT: Grüne";0,511355926900471;0,585178038133712;0,882957094911139;0,987129665944915;1775;0,441149847829673;171;0;1
"6";"AT: NEOS";0,28381484071867;0,328715068327579;0,655416008729338;0,730666696138783;1775;0,195501631208815;30;0;0
"7";"AT: not eligible: age";0,333535141865306;0,377640090384248;0,705136309875974;0,779591718195451;1775;0,233876292472499;17;0;0
"8";"AT: not eligible: citizenship";0,360677237601936;0,423272012985542;0,732278405612605;0,825223640796745;1775;0,125914369054474;70;0;0
"9";"AT: not eligible: other";0,327646662690034;0,387910603444542;0,699247830700702;0,789862231255745;1775;0,424713803101929;8;0;0
"10";"AT: Other";0,358608259806988;0,422039592401706;0,730209427817656;0,823991220212909;1775;0,474333108219627;17;0;0
"11";"AT: Refusal";0,263988060898703;0,300236919354536;0,635589228909371;0,702188547165739;1775;0,19138223680524;172;0;0
"12";"AT: SPÖ";0,331091621343986;0,36102268884;0,702692789354655;0,762974316651204;1775;0,213123754363525;435;0;0
"13";"AT: Team Frank Stronach";0,231095309025842;0,261250859284659;0,60269647703651;0,663202487095862;1775;0,0865787618747905;17;0;0
"14";"AT: ÖVP";0,219114249920821;0,24568910393908;0,590715417931489;0,647640731750283;1775;0,13433112255195;314;0;0
"15";"BE: CD&V";0,271721400577083;0,319878458953146;0,597959710102528;0,694793968922099;1690;0,352655722291216;155;0;0
"16";"BE: CDH";0,329899167904144;0,38611639326763;0,656137477429588;0,761031903236583;1690;-0,0313616161182916;40;0;0
"17";"BE: did not vote";0,27031191217766;0,307194196299473;0,596550221703104;0,682109706268427;1690;0,226251783570373;114;0;0
"18";"BE: Don't know";0,21484415419622;0,250209954814068;0,541082463721664;0,625125464783022;1690;0,0229808396858408;66;0;0
"19";"BE: Ecolo";0,352581268147669;0,423677753114029;0,678819577673113;0,798593263082982;1690;0,165115941503506;58;0;1
"20";"BE: Groen!";0,275906151810941;0,334134661402715;0,602144461336385;0,709050171371669;1690;0,0049870477687703;77;0;1
"21";"BE: MR";0,306754052189317;0,356540665384752;0,632992361714761;0,731456175353705;1690;0,208298195420962;124;0;0
"22";"BE: N-VA";0,0592898088175887;0,0826825598993945;0,385528118343033;0,457598069868348;1690;-0,0224026547306686;254;1;0
