"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,01;0,07;282,71;0,17;0,868;-0,13;0,16
"age";0;0;30473,94;-6,9;0;0;0
"gender";0,04;0,01;36784,19;4,3;0;0,02;0,05
"educ";0,02;0;36418,83;13,42;0;0,02;0,02
"resid";-0,06;0,01;36853,4;-6,44;0;-0,07;-0,04
"occupClerical support workers";0,04;0,07;36684,93;0,63;0,531;-0,09;0,17
"occupCraft and related trades workers";-0,03;0,07;36683,93;-0,44;0,662;-0,16;0,1
"occupElementary occupations";-0,05;0,07;36695,28;-0,79;0,432;-0,18;0,08
"occupManagers";0,06;0,07;36687,21;0,88;0,378;-0,07;0,19
"occupOther: Not in paid work";0;0,07;36823,47;-0,07;0,947;-0,14;0,13
"occupPlant and machine operators, and assemblers";-0,03;0,07;36693,16;-0,44;0,662;-0,16;0,1
"occupProfessionals";0,08;0,07;36687,18;1,3;0,194;-0,04;0,21
"occupRetired";-0,11;0,07;36678,04;-1,53;0,127;-0,25;0,03
"occupService and sales workers";-0,01;0,07;36683,91;-0,1;0,924;-0,13;0,12
"occupSkilled agricultural, forestry and fishery workers";0,01;0,07;36699,67;0,15;0,878;-0,13;0,15
"occupTechnicians and associate professionals";0,06;0,07;36681,44;0,86;0,391;-0,07;0,18
"occupUnemployed";-0,14;0,08;36695,97;-1,77;0,077;-0,3;0,02
"refugees.lvl1";0,16;0,02;19,6;10,54;0;0,13;0,19
