"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,01;0,1;50,82;0,1;0,919;-0,2;0,22
"age";0;0;35883,24;-4,31;0;0;0
"gender";0,07;0,01;36713,19;8,24;0;0,05;0,09
"educ";0,02;0;36866,31;15,48;0;0,02;0,02
"resid";-0,06;0,01;36766,97;-6,71;0;-0,07;-0,04
"occupClerical support workers";-0,01;0,07;36653,24;-0,1;0,917;-0,13;0,12
"occupCraft and related trades workers";-0,05;0,06;36658,87;-0,81;0,417;-0,18;0,07
"occupElementary occupations";0,02;0,07;36660,3;0,28;0,783;-0,11;0,15
"occupManagers";0,06;0,07;36654,18;0,88;0,377;-0,07;0,19
"occupOther: Not in paid work";0,13;0,07;36800,93;2;0,046;0;0,26
"occupPlant and machine operators, and assemblers";-0,02;0,07;36658,99;-0,31;0,756;-0,15;0,11
"occupProfessionals";0,12;0,06;36654,96;1,93;0,054;0;0,25
"occupRetired";0,02;0,07;36659,71;0,28;0,781;-0,12;0,16
"occupService and sales workers";-0,02;0,06;36654,9;-0,24;0,812;-0,14;0,11
"occupSkilled agricultural, forestry and fishery workers";-0,02;0,07;36663,8;-0,33;0,739;-0,16;0,11
"occupTechnicians and associate professionals";0,03;0,06;36651,27;0,42;0,671;-0,1;0,15
"occupUnemployed";-0,1;0,08;36669,21;-1,29;0,197;-0,26;0,05
