"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,16;0,04;3e-04;0,0024;-0,24;-0,07
"2";"Did not vote";-0,11;0,04;0,0141;0,1126;-0,19;-0,02
"3";"Don't know";-0,09;0,05;0,0622;0,4357;-0,19;0
"4";"Invalid vote";-0,38;0,23;0,0962;0,5772;-0,84;0,07
"5";"NE age";0,04;0,05;0,4326;1;-0,06;0,13
"6";"NE citizen";0;0,05;0,9457;1;-0,1;0,1
"7";"NE other";0,06;0,07;0,3784;1;-0,07;0,19
"8";"No answer";0,22;0,25;0,3854;1;-0,28;0,71
"9";"Other party";0;0,04;0,9807;1;-0,08;0,07
"10";"Pro-environment party";0,31;0,05;0;0;0,22;0,4
