"";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,12;0,02;0;0;0,07;0,17
"2";"Did not vote";0,12;0,02;0;0;0,08;0,17
"3";"Don't know";0,14;0,04;1e-04;6e-04;0,07;0,2
"4";"Invalid vote";-0,08;0,29;0,7891;1;-0,64;0,49
"5";"NE age";0,22;0,03;0;0;0,16;0,28
"6";"NE citizen";0,11;0,03;0,0016;0,0063;0,04;0,17
"7";"NE other";0,12;0,06;0,0458;0,1374;0;0,24
"8";"No answer";-0,03;0,26;0,9236;1;-0,54;0,49
"9";"Other party";0,16;0,02;0;0;0,13;0,19
"10";"Pro-environment party";0,17;0,03;0;0;0,11;0,23
