"";"group";"polintr.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,01;0,02;0,6437;1;-0,05;0,03
"2";"Did not vote";0,03;0,02;0,0515;0,3966;0;0,07
"3";"Don't know";0,06;0,03;0,0496;0,3966;0;0,13
"4";"Invalid vote";0,19;0,25;0,4378;1;-0,29;0,67
"5";"NE age";0,02;0,03;0,385;1;-0,03;0,08
"6";"NE citizen";-0,03;0,03;0,3587;1;-0,08;0,03
"7";"NE other";0,07;0,06;0,1994;1;-0,04;0,19
"8";"No answer";-0,39;0,5;0,4425;1;-1,37;0,6
"9";"Other party";0,07;0,01;0;0;0,04;0,09
"10";"Pro-environment party";0,14;0,03;0;0;0,09;0,19
