"";"group";"engagement.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,01;0,02;0,5881;1;-0,03;0,05
"2";"Did not vote";0,02;0,02;0,3567;1;-0,02;0,05
"3";"Don't know";0,01;0,03;0,7358;1;-0,05;0,08
"4";"Invalid vote";-0,1;0,33;0,7556;1;-0,75;0,54
"5";"NE age";0,02;0,03;0,5851;1;-0,04;0,07
"6";"NE citizen";-0,03;0,03;0,3602;1;-0,09;0,03
"7";"NE other";0,07;0,06;0,264;1;-0,05;0,19
"8";"No answer";-0,73;0,49;0,1322;1;-1,69;0,22
"9";"Other party";0,06;0,01;0;0;0,04;0,08
"10";"Pro-environment party";0,11;0,03;0;4e-04;0,06;0,16
