"";"cntry";"slope_with_covs";"slope_without_covs";"observed_r";"partial_r";"n";"partial_r.se";"country"
"1";"AT";0,223631753811603;0,239425323000071;0,258228090728433;0,233827172455717;1973;0,0225302954529666;"Austria"
"2";"BE";0,183284480578035;0,210236741719078;0,215417246632497;0,167997160497212;1753;0,0239045721866879;"Belgium"
"4";"CZ";0,145614055311472;0,153433197366758;0,17920469106757;0,168255869159279;2156;0,0215515239351977;"Czech Republic"
"6";"EE";0,0391483190683159;0,0551373061843661;0,0221559881529284;0,00751959693894554;1974;0,0225245792799829;"Estonia"
"8";"FI";0,226715132020233;0,258153091650387;0,312341320774513;0,274647988390453;1862;0,0231931803521357;"Finland"
"9";"FR";0,224152548281369;0,242116681375735;0,286144286516608;0,251605175057621;2015;0,0222938981033855;"France"
"5";"DE";0,22027289058899;0,23867496953304;0,271490651379833;0,249071743754114;2819;0,0188444590361102;"Germany"
"10";"GB";0,190194437973779;0,214296886068925;0,276479052286229;0,233426477502116;1876;0,0231063374355391;"Great Britain"
"11";"HU";0,104657302629351;0,121353037049419;0,111208410929002;0,109171694161099;1391;0,0268414063547509;"Hungary"
"12";"IE";0,150522140410703;0,178145427622729;0,206796865037854;0,175598129317179;2676;0,0193419617728553;"Ireland"
"13";"IT";0,14897552551227;0,168139901856248;0,172422009987744;0,162046341753677;2317;0,0207882687481516;"Italy"
"14";"LT";0,0533237459032409;0,0756595706368237;0,07353984793579;0,0635573851804004;1927;0,0227980376293777;"Lithuania"
"15";"NL";0,11596148842937;0,139408631325578;0,191507912290259;0,149112346514101;1661;0,0245588336206301;"Netherlands"
"16";"NO";0,205882268750747;0,242969959973576;0,347319831204396;0,29327917500949;1538;0,0255238280445078;"Norway"
"17";"PL";0,142852549852637;0,159178512198158;0,171688354190518;0,158605299037499;1589;0,0251100980475913;"Poland"
"18";"PT";0,0992299919213023;0,1436994710391;0,172814037411545;0,127888619815659;1228;0,0285714285714286;"Portugal"
"20";"SI";0,108972893086749;0,133506073628948;0,113288788394098;0,0806620199487818;1276;0,0280275927335605;"Slovenia"
"7";"ES";0,132371374210181;0,161064701949417;0,176656467610324;0,15473887896991;1817;0,0234790953021465;"Spain"
"19";"SE";0,158248939450448;0,18902941844006;0,250724516760885;0,198908437245268;1525;0,0256326007925508;"Sweden"
"3";"CH";0,17869861552932;0,197201012055141;0,255970226430042;0,225272067202239;1503;0,0258198889747161;"Switzerland"
