"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"1";"AT: BZÖ";0,138974729835377;0,156155132629071;0,362606483646979;0,395580455629142;1973;0,265114693866598;10;1;0
"2";"AT: did not vote";0,0448509481269787;0,059396451576852;0,268482701938581;0,298821774576923;1973;0,0464774263541635;289;0;0
"3";"AT: Don't know";0,159723485396388;0,180388622636509;0,383355239207991;0,41981394563658;1973;0,288655931569799;38;0;0
"4";"AT: FPÖ";0,148331412968166;0,159599970610675;0,371963166779768;0,399025293610746;1973;0,265412612230296;247;1;0
"5";"AT: Grüne";0,268447496567622;0,311866471932988;0,492079250379225;0,551291794933059;1973;0,421706885532372;183;0;1
"6";"AT: NEOS";0,149469718128094;0,169905030233433;0,373101471939697;0,409330353233504;1973;0,153346415797174;36;0;0
"7";"AT: not eligible: age";0,173729781374007;0,197818368513003;0,397361535185609;0,437243691513074;1973;0,3369561302697;17;0;0
"8";"AT: not eligible: citizenship";0,196135240807033;0,232193430265773;0,419766994618636;0,471618753265843;1973;0,257845070452167;84;0;0
"9";"AT: not eligible: other";0,166956676752185;0,19942419660356;0,390588430563788;0,438849519603631;1973;0,116959431660653;9;0;0
"10";"AT: Other";0,190438423960085;0,224698665724696;0,414070177771688;0,464123988724767;1973;0,478437698842209;17;0;0
"11";"AT: Refusal";0,150610019379695;0,172298590640283;0,374241773191298;0,411723913640354;1973;0,186521940532834;201;0;0
"12";"AT: SPÖ";0,186754166991897;0,205433841703505;0,4103859208035;0,444859164703576;1973;0,220252049278735;470;0;0
"13";"AT: Team Frank Stronach";0,124000806157531;0,139422223444295;0,347632559969134;0,378847546444366;1973;0,0431280946781752;18;0;0
"14";"AT: ÖVP";0,112921424067579;0,132471481075927;0,336553177879182;0,371896804075998;1973;0,138603784860636;354;0;0
"15";"BE: CD&V";0,189556224443982;0,222178561608325;0,372840705022017;0,432415303327403;1753;0,372135128211765;163;0;0
"16";"BE: CDH";0,156534407599993;0,182296533128248;0,339818888178029;0,392533274847326;1753;0,0148542786073087;41;0;0
"17";"BE: did not vote";0,172928972675774;0,19592898797932;0,356213453253809;0,406165729698397;1753;0,253892362790136;118;0;0
"18";"BE: Don't know";0,112560216737522;0,131755301495785;0,295844697315557;0,341992043214863;1753;0,0392679778092045;69;0;0
"19";"BE: Ecolo";0,175805473125317;0,208211846271457;0,359089953703352;0,418448587990535;1753;0,183819110157287;60;0;1
"20";"BE: Groen!";0,148770039062364;0,176278938811801;0,3320545196404;0,386515680530878;1753;0,0745627134483862;78;0;1
"21";"BE: MR";0,177973601383596;0,200945596595333;0,361258081961631;0,41118233831441;1753;0,223743627623029;129;0;0
"22";"BE: N-VA";0,0372292161507476;0,0480530905816852;0,220513696728783;0,258289832300763;1753;0,000892633923473589;259;1;0
"23";"BE: not eligible: age";0,181298010583147;0,198424153144985;0,364582491161182;0,408660894864063;1753;0,214759578108004;159;0;0
"24";"BE: not eligible: citizenship";0,168217949874583;0,210743922216464;0,351502430452618;0,420980663935542;1753;0,150997464127465;85;0;0
"25";"BE: not eligible: other";0,168301599846758;0,198499739562137;0,351586080424793;0,408736481281214;1753;-0,155734084479972;9;0;0
"26";"BE: Open VLD";0,0944875415300683;0,113367232196671;0,277772022108103;0,323603973915749;1753;0,0600733662060242;105;0;0
"27";"BE: Other";0,175505545320067;0,199467942765875;0,358790025898103;0,409704684484953;1753;0,424789621214953;57;0;0
"28";"BE: Parti Populaire";0,13128624856699;0,151356772521156;0,314570729145025;0,361593514240234;1753;-0,292352673102343;5;1;0
"29";"BE: PS";0,175069796407345;0,200753748306639;0,35835427698538;0,410990490025717;1753;0,16022686279075;176;0;0
"30";"BE: PTB";0,17142848014678;0,203752968041185;0,354712960724815;0,413989709760263;1753;0,147722175870455;28;0;0
"31";"BE: PVDA+";0,19686471416521;0,226779945637877;0,380149194743246;0,437016687356954;1753;0,70479915972985;18;0;0
"32";"BE: Refusal";0,143850217851746;0,159017497164356;0,327134698429781;0,369254238883434;1753;0,211414410576068;50;0;0
"33";"BE: SP.A";0,19484190539;0,220745252866019;0,378126385968035;0,430981994585097;1753;0,36497172668281;114;0;0
"34";"BE: Vlaams Belang";0,111940895934601;0,112101890808384;0,295225376512636;0,322338632527461;1753;0,294563337804499;30;1;0
"35";"CH: Blank";0,142918751025961;0,158517139122665;0,321617366555281;0,355718151177806;1503;0,434504437104899;13;0;0
"36";"CH: Christian Democratic Party";0,166658264667058;0,186177020210845;0,345356880196378;0,383378032265986;1503;0,260013043452349;116;0;0
"37";"CH: Conservative Democratic Party";0,140043698903323;0,15888478336185;0,318742314432643;0,356085795416991;1503;0,106530266026193;25;0;0
"38";"CH: did not vote";0,119463418853801;0,138829721091299;0,298162034383121;0,33603073314644;1503;0,132090533529872;365;0;0
"39";"CH: Don't know";0,179629792249032;0,206109785216381;0,358328407778352;0,403310797271523;1503;0,425881050072711;69;0;0
"40";"CH: Evangelical People's Party";0,172132706856392;0,200047906001787;0,350831322385712;0,397248918056929;1503;0,0683785659951357;13;0;0
"41";"CH: FDP. The Liberals";0,133496207417459;0,151859955486272;0,312194822946779;0,349060967541413;1503;0,153844427426991;140;0;0
"42";"CH: Federal Democratic Union";0,163330446202106;0,187519966105645;0,342029061731426;0,384720978160787;1503;0,597779333633003;4;1;0
"43";"CH: Green Liberal Party";0,132500041464992;0,166416967776597;0,311198656994312;0,363617979831738;1503;-0,0417643735365473;43;0;0
"44";"CH: Green Party";0,167144418184162;0,203236812156733;0,345843033713482;0,400437824211874;1503;0,0735490328908191;65;0;1
"45";"CH: not eligible: age";0,136984388572135;0,160456907852756;0,315683004101455;0,357657919907897;1503;0,0851582452466721;67;0;0
"46";"CH: not eligible: citizenship";0,171972896858459;0,196193853489636;0,350671512387779;0,393394865544778;1503;0,245600365775429;221;0;0
"47";"CH: not eligible: other";0,145895472080948;0,168476028766503;0,324594087610267;0,365677040821644;1503;-0,478027104097868;7;0;0
"48";"CH: Other";0,198342772897852;0,227128570662633;0,377041388427172;0,424329582717774;1503;0,310849106038338;57;0;0
"49";"CH: Refusal";0,132256054286202;0,147847010825147;0,310954669815522;0,345048022880288;1503;-0,0273941189921722;18;0;0
"50";"CH: Social Democratic Party";0,197614267825371;0,233157815240466;0,376312883354691;0,430358827295607;1503;0,332825031105958;130;0;1
"51";"CH: Swiss People's Party";0,115607760258074;0,120723661814906;0,294306375787394;0,317924673870047;1503;0,185326598171027;148;1;0
"52";"CH: Ticino League";0,156383138856585;0,179550144558033;0,335081754385905;0,376751156613174;1503;NA;2;1;0
"53";"CZ: ANO 2011";0,142477055073158;0,164478066230063;0,288091110384631;0,317911263596821;2156;0,168629597187615;302;0;0
"54";"CZ: CSSD";0,0987903019776758;0,117236754088686;0,244404357289148;0,270669951455444;2156;0,0780533658719861;296;0;0
"55";"CZ: did not vote";0,139200283055502;0,160233866315739;0,284814338366974;0,313667063682497;2156;0,168670377395236;839;0;0
"56";"CZ: Don't know";0,110602125153142;0,129681847969733;0,256216180464614;0,28311504533649;2156;-0,34076589558543;19;0;0
"57";"CZ: KDU-CSL";0,171292425903021;0,19905149090651;0,316906481214493;0,352484688273267;2156;0,286724547198796;72;0;0
"58";"CZ: KSCM";0,140492397180686;0,153355769452605;0,286106452492158;0,306788966819363;2156;0,151016592209659;108;0;0
"59";"CZ: not eligible: age";0,209124849016016;0,233866915261942;0,354738904327488;0,3873001126287;2156;0,312412567541901;143;0;0
"60";"CZ: not eligible: citizenship";0,173498559193652;0,199954403516112;0,319112614505125;0,35338760088287;2156;-0,0260219092621354;5;0;0
"61";"CZ: not eligible: other";0,15685946889769;0,182985536364781;0,302473524209162;0,336418733731539;2156;0,323001347632184;11;0;0
"62";"CZ: ODS";0,160721508875819;0,176842598633672;0,306335564187292;0,33027579600043;2156;0,211653717656637;102;1;0
"63";"CZ: Other";0,170847897573612;0,197449064945206;0,316461952885085;0,350882262311963;2156;0,3705393422425;41;0;0
"64";"CZ: Refusal";0,153903028643679;0,179175080532298;0,299517083955152;0,332608277899056;2156;0,267462895036932;45;0;0
