"";"env_point";"group";"environ.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";-1,17514445472103;"Anti-immigration party";0,29;0,05;0;0;0,18;0,39
"2";0,00415717868191481;"Anti-immigration party";0,05;0,03;0,0876;0,7888;-0,01;0,11
"3";1,18345881208486;"Anti-immigration party";0,03;0,04;0,4566;1;-0,05;0,1
"4";-1,17514445472103;"Did not vote";0,18;0,04;0;3e-04;0,1;0,26
"5";0,00415717868191481;"Did not vote";0,1;0,02;0;7e-04;0,05;0,14
"6";1,18345881208486;"Did not vote";0,07;0,03;0,0213;0,2558;0,01;0,14
"7";-1,17514445472103;"Don't know";0,12;0,08;0,1657;1;-0,05;0,28
"8";0,00415717868191481;"Don't know";0,12;0,05;0,0275;0,303;0,01;0,22
"9";1,18345881208486;"Don't know";0,18;0,06;0,0044;0,0699;0,06;0,3
"10";-1,17514445472103;"NE age";0,14;0,05;0,0098;0,1367;0,03;0,24
"11";0,00415717868191481;"NE age";0,05;0,05;0,2727;1;-0,04;0,14
"12";1,18345881208486;"NE age";0,27;0,06;0;2e-04;0,15;0,4
"13";-1,17514445472103;"NE citizen";0,04;0,07;0,5477;1;-0,09;0,17
"14";0,00415717868191481;"NE citizen";0,06;0,05;0,3047;1;-0,05;0,16
"15";1,18345881208486;"NE citizen";0,12;0,06;0,0562;0,562;0;0,24
"16";-1,17514445472103;"NE other";0,13;0,15;0,3553;1;-0,15;0,42
"17";0,00415717868191481;"NE other";0,08;0,11;0,4849;1;-0,14;0,29
"18";1,18345881208486;"NE other";0,18;0,11;0,1099;0,8795;-0,04;0,4
"19";-1,17514445472103;"Other party";0,15;0,03;0;0;0,1;0,2
"20";0,00415717868191481;"Other party";0,1;0,02;0;0;0,07;0,14
"21";1,18345881208486;"Other party";0,13;0,02;0;0;0,08;0,18
"22";-1,17514445472103;"Pro-environment party";0,11;0,04;0,0089;0,1334;0,03;0,2
"23";0,00415717868191481;"Pro-environment party";0,16;0,04;0;7e-04;0,08;0,23
"24";1,18345881208486;"Pro-environment party";0,17;0,06;0,01;0,1367;0,04;0,29
