"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";-0,04;0,12;182,49;-0,3;0,763;-0,27;0,2
"age";0;0;30300,28;-8,71;0;0;0
"gender";0,01;0,01;35654,32;0,49;0,622;-0,02;0,03
"educ";0,03;0;35392,5;12,22;0;0,02;0,03
"resid";-0,12;0,01;35728,36;-9,4;0;-0,15;-0,1
"occupClerical s";0,05;0,1;35574,16;0,48;0,629;-0,15;0,24
"occupCraft and ";-0,05;0,1;35583,4;-0,49;0,625;-0,24;0,15
"occupElementary";-0,01;0,1;35586,2;-0,12;0,903;-0,21;0,18
"occupManagers";0,13;0,1;35574,73;1,34;0,181;-0,06;0,33
"occupOther: Not";0,14;0,1;35722,4;1,35;0,178;-0,06;0,34
"occupPlant and ";-0,03;0,1;35583,69;-0,3;0,762;-0,23;0,17
"occupProfession";0,19;0,1;35577,21;1,96;0,05;0;0,38
"occupRetired";0,06;0,11;35578,52;0,56;0,573;-0,15;0,28
"occupService an";0,03;0,1;35575,86;0,31;0,76;-0,16;0,22
"occupSkilled ag";0,05;0,1;35590,53;0,51;0,61;-0,15;0,26
"occupTechnician";0,06;0,1;35573,19;0,63;0,527;-0,13;0,25
"occupUnemployed";-0,02;0,12;35582,73;-0,2;0,838;-0,26;0,21
"refugees.lvl1";0,16;0,01;35453,62;26,78;0;0,15;0,17
