"";"Estimate";"Std..Error";"df";"t.value";"p";"LL";"UL"
"(Intercept)";0,06;0,14;50,42;0,44;0,663;-0,22;0,35
"age";0;0;34095,35;3,3;0,001;0;0
"gender";0,06;0,01;35598,09;4,77;0;0,03;0,08
"educ";0,02;0;35706,37;9,28;0;0,01;0,02
"resid";-0,08;0,01;35657,25;-6,58;0;-0,1;-0,05
"occupClerical s";-0,04;0,09;35532,93;-0,4;0,687;-0,21;0,14
"occupCraft and ";-0,08;0,09;35539,44;-0,85;0,398;-0,25;0,1
"occupElementary";0,01;0,09;35540,85;0,14;0,892;-0,16;0,19
"occupManagers";0;0,09;35533,47;0;0,998;-0,18;0,18
"occupOther: Not";0,16;0,09;35696,52;1,71;0,088;-0,02;0,34
"occupPlant and ";-0,07;0,09;35539,06;-0,77;0,442;-0,24;0,11
"occupProfession";0,1;0,09;35535,19;1,1;0,273;-0,08;0,27
"occupRetired";-0,03;0,1;35538,37;-0,28;0,782;-0,22;0,17
"occupService an";-0,04;0,09;35534,9;-0,4;0,691;-0,21;0,14
"occupSkilled ag";-0,05;0,09;35544,87;-0,52;0,601;-0,23;0,14
"occupTechnician";-0,03;0,09;35532,1;-0,29;0,774;-0,2;0,15
"occupUnemployed";-0,03;0,11;35546,28;-0,23;0,816;-0,24;0,19
