"";"Eff";"Est";"SE";"df";"t";"p";"LL";"UL"
"1";"(Intercept)";"0.07";"0.14";"49.59";"0.51";"0.611";"-0.21";"0.36"
"2";"age";"0.00";"0.00";"34270.64";"4.39";"0.000";"0.00";"0.00"
"3";"gender";"0.06";"0.01";"35593.07";"4.67";"0.000";"0.03";"0.08"
"4";"educ";"0.01";"0.00";"35714.29";"7.51";"0.000";"0.01";"0.02"
"5";"resid";"-0.06";"0.01";"35651.76";"-5.23";"0.000";"-0.08";"-0.04"
"6";"occupClerical support workers";"-0.04";"0.09";"35528.94";"-0.46";"0.646";"-0.21";"0.13"
"7";"occupCraft and related trades workers";"-0.07";"0.09";"35535.31";"-0.76";"0.446";"-0.24";"0.11"
"8";"occupElementary occupations";"0.01";"0.09";"35536.62";"0.16";"0.871";"-0.16";"0.19"
"9";"occupManagers";"-0.02";"0.09";"35529.47";"-0.18";"0.859";"-0.19";"0.16"
"10";"occupOther: Not in paid work";"0.14";"0.09";"35691.43";"1.54";"0.123";"-0.04";"0.32"
"11";"occupPlant and machine operators, and assemblers";"-0.06";"0.09";"35534.89";"-0.72";"0.474";"-0.24";"0.11"
"12";"occupProfessionals";"0.07";"0.09";"35531.19";"0.83";"0.407";"-0.10";"0.24"
"13";"occupRetired";"-0.03";"0.10";"35534.45";"-0.34";"0.734";"-0.23";"0.16"
"14";"occupService and sales workers";"-0.04";"0.09";"35530.91";"-0.43";"0.668";"-0.21";"0.13"
"15";"occupSkilled agricultural, forestry and fishery workers";"-0.05";"0.09";"35540.59";"-0.58";"0.564";"-0.24";"0.13"
"16";"occupTechnicians and associate professionals";"-0.03";"0.09";"35528.10";"-0.36";"0.718";"-0.20";"0.14"
"17";"occupUnemployed";"-0.02";"0.11";"35542.75";"-0.19";"0.852";"-0.23";"0.19"
"18";"environ.lvl1";"0.13";"0.00";"35459.04";"26.76";"0.000";"0.12";"0.13"
