"";"group";"emmean";"CI";"p";"p.adj";"p_less_001";"p.adj_less_001"
"1";"Anti-immigration party";"-0.48";"[-0.71, -0.25]";"0.000";"0.000";"yes";"yes"
"2";"Did not vote";"-0.03";"[-0.26, 0.20]";"0.781";"1.000";"no";"no"
"3";"Don't know";"-0.06";"[-0.30, 0.18]";"0.630";"1.000";"no";"no"
"4";"Invalid vote";"0.02";"[-0.71, 0.74]";"0.963";"1.000";"no";"no"
"5";"NE age";"0.25";"[0.01, 0.49]";"0.040";"0.278";"no";"no"
"6";"NE citizen";"0.37";"[0.13, 0.61]";"0.003";"0.024";"no";"no"
"7";"NE other";"0.22";"[-0.05, 0.50]";"0.109";"0.651";"no";"no"
"8";"No answer";"0.08";"[-0.68, 0.84]";"0.839";"1.000";"no";"no"
"9";"Other party";"0.06";"[-0.16, 0.27]";"0.596";"1.000";"no";"no"
"10";"Pro-environment party";"0.41";"[0.18, 0.65]";"0.000";"0.004";"yes";"no"
