"";"group";"emmean";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,22;0,07;0,0022;0,0198;-0,36;-0,08
"2";"Did not vote";-0,12;0,07;0,086;0,4299;-0,27;0,02
"3";"Don't know";-0,15;0,08;0,0663;0,3978;-0,3;0,01
"4";"Invalid vote";-0,84;0,37;0,0228;0,1827;-1,56;-0,12
"5";"NE age";0,17;0,08;0,0345;0,2414;0,01;0,33
"6";"NE citizen";0,02;0,08;0,8496;1;-0,15;0,18
"7";"NE other";0,07;0,11;0,4893;1;-0,14;0,29
"8";"No answer";-0,02;0,39;0,9606;1;-0,79;0,75
"9";"Other party";-0,01;0,06;0,9106;1;-0,13;0,12
"10";"Pro-environment party";0,48;0,08;0;0;0,33;0,63
