"";"group";"beta";"CI";"p";"p.adj";"p_less_001";"p.adj_less_001"
"1";"Anti-immigration party";"0.11";"[0.07, 0.15]";"0.000";"0.000";"yes";"yes"
"2";"Did not vote";"0.11";"[0.08, 0.14]";"0.000";"0.000";"yes";"yes"
"3";"Don't know";"0.14";"[0.08, 0.20]";"0.000";"0.000";"yes";"yes"
"4";"Invalid vote";"0.17";"[-0.59, 0.93]";"0.664";"0.664";"no";"no"
"5";"NE age";"0.15";"[0.10, 0.20]";"0.000";"0.000";"yes";"yes"
"6";"NE citizen";"0.07";"[0.01, 0.13]";"0.016";"0.048";"no";"no"
"7";"NE other";"0.14";"[0.04, 0.25]";"0.008";"0.034";"no";"no"
"8";"No answer";"0.34";"[-0.11, 0.79]";"0.141";"0.282";"no";"no"
"9";"Other party";"0.13";"[0.10, 0.15]";"0.000";"0.000";"yes";"yes"
"10";"Pro-environment party";"0.14";"[0.09, 0.18]";"0.000";"0.000";"yes";"yes"
