"";"group";"polintr.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,02;0,03;0,398;1;-0,08;0,03
"2";"Did not vote";0,05;0,02;0,0157;0,1252;0,01;0,1
"3";"Don't know";0,08;0,04;0,072;0,504;-0,01;0,16
"4";"Invalid vote";0,18;0,35;0,6081;1;-0,51;0,86
"5";"NE age";0;0,04;0,9847;1;-0,07;0,07
"6";"NE citizen";0,02;0,04;0,5879;1;-0,06;0,1
"7";"NE other";0;0,08;0,9607;1;-0,16;0,15
"8";"No answer";-0,26;0,7;0,7104;1;-1,63;1,11
"9";"Other party";0,08;0,02;0;0;0,05;0,11
"10";"Pro-environment party";0,15;0,03;0;1e-04;0,08;0,22
