"";"group";"env.intr.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,01;0,02;0,7073;1;-0,04;0,03
"2";"Did not vote";0,01;0,01;0,5008;1;-0,02;0,04
"3";"Don't know";0,03;0,03;0,4389;1;-0,04;0,09
"4";"Invalid vote";0,13;0,41;0,7489;1;-0,68;0,94
"5";"NE age";0;0,03;0,9794;1;-0,06;0,06
"6";"NE citizen";0,08;0,03;0,0051;0,0507;0,02;0,14
"7";"NE other";-0,09;0,06;0,1216;0,9729;-0,21;0,02
"8";"No answer";0,35;0,76;0,6436;1;-1,14;1,85
"9";"Other party";0,02;0,01;0,0837;0,7533;0;0,03
"10";"Pro-environment party";-0,01;0,03;0,7334;1;-0,06;0,04
