"";"group";"polnews.lvl1.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";0,02;0,02;0,2121;1;-0,01;0,06
"2";"Did not vote";0,01;0,01;0,6156;1;-0,02;0,04
"3";"Don't know";-0,04;0,03;0,2529;1;-0,1;0,03
"4";"Invalid vote";-0,03;0,34;0,9182;1;-0,7;0,63
"5";"NE age";0,01;0,03;0,8282;1;-0,05;0,06
"6";"NE citizen";0,01;0,03;0,7767;1;-0,05;0,07
"7";"NE other";0;0,06;0,9512;1;-0,12;0,11
"8";"No answer";-0,36;0,42;0,3927;1;-1,19;0,47
"9";"Other party";0,04;0,01;0,0011;0,0108;0,01;0,06
"10";"Pro-environment party";0,03;0,02;0,2601;1;-0,02;0,08
