"";"group";"env.news.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,04;0,02;0,012;0,1203;-0,07;-0,01
"2";"Did not vote";-0,01;0,01;0,4327;1;-0,03;0,01
"3";"Don't know";-0,02;0,03;0,576;1;-0,07;0,04
"4";"Invalid vote";0,41;0,58;0,4851;1;-0,74;1,55
"5";"NE age";-0,02;0,02;0,4812;1;-0,06;0,03
"6";"NE citizen";0,05;0,02;0,0352;0,3171;0;0,1
"7";"NE other";-0,02;0,05;0,6371;1;-0,11;0,07
"8";"No answer";-0,08;0,31;0,8022;1;-0,7;0,54
"9";"Other party";0;0,01;0,6701;1;-0,01;0,02
"10";"Pro-environment party";0,02;0,02;0,4034;1;-0,02;0,06
