"";"group";"env.eng.int.trend";"SE";"p";"adj.p";"asymp.LCL";"asymp.UCL"
"1";"Anti-immigration party";-0,04;0,02;0,0886;0,7972;-0,08;0,01
"2";"Did not vote";0;0,02;0,802;1;-0,04;0,03
"3";"Don't know";0;0,04;0,9297;1;-0,07;0,08
"4";"Invalid vote";0,3;0,55;0,5815;1;-0,77;1,37
"5";"NE age";-0,01;0,03;0,7068;1;-0,07;0,05
"6";"NE citizen";0,1;0,03;0,0032;0,0315;0,03;0,16
"7";"NE other";-0,07;0,07;0,2553;1;-0,2;0,05
"8";"No answer";-0,11;0,54;0,8355;1;-1,17;0,95
"9";"Other party";0,01;0,01;0,2321;1;-0,01;0,04
"10";"Pro-environment party";0,01;0,03;0,7199;1;-0,05;0,07
