"";"group";"observed_r";"LL";"UL";"p";"r";"CI";"pno0"
"1";"AT: BZÖ";0;-0,63;0,63;1;".00";"[-.63, .63]";"1.000"
"4";"AT: FPÖ";0,26;0,14;0,37;0;".26";"[.14, .37]";".000"
"22";"BE: N-VA";-0,03;-0,15;0,09;0,608;"-.03";"[-.15, .09]";".608"
"28";"BE: Parti Populaire";-0,1;-0,9;0,86;0,885;"-.10";"[-.90, .86]";".885"
"34";"BE: Vlaams Belang";0,19;-0,19;0,51;0,325;".19";"[-.19, .51]";".325"
"42";"CH: Federal Democratic Union";0,87;-1;1;1;".87";"[-1.00, 1.00]";"1.000"
"51";"CH: Swiss People's Party";0,01;-0,15;0,17;0,909;".01";"[-.15, .17]";".909"
"52";"CH: Ticino League";NA;NA;NA;NA;NA;"[NA, NA]";NA
"62";"CZ: ODS";0,19;0;0,37;0,055;".19";"[.00, .37]";".055"
"66";"CZ: Usvit";0,36;0,04;0,62;0,029;".36";"[.04, .62]";".029"
"67";"DE: AfD";0;-0,26;0,26;0,99;".00";"[-.26, .26]";".990"
"77";"DE: NPD";0,16;-0,52;0,72;0,663;".16";"[-.52, .72]";".663"
"85";"EE: Eesti Konservatiivne Rahvaerakond";0,02;-0,21;0,26;0,848;".02";"[-.21, .26]";".848"
"111";"ES: Partido Popular - PP";0,1;-0,01;0,2;0,089;".10";"[-.01, .20]";".089"
"129";"FI: True Finns";0,14;0;0,28;0,051;".14";"[.00, .28]";".051"
"136";"FR: FN (Front National)";0,28;0,11;0,44;0,002;".28";"[.11, .44]";".002"
"138";"FR: MPF (Mouvement pour la France)";-0,22;-0,6;0,25;0,359;"-.22";"[-.60, .25]";".359"
"148";"FR: UMP (Union pour un Mouvement Populaire)";0,16;0,05;0,27;0,006;".16";"[.05, .27]";".006"
"149";"GB: Conservative";0,21;0,13;0,3;0;".21";"[.13, .30]";".000"
"150";"GB: Democratic Unionist Party (nir)";0,19;-0,66;0,83;0,696;".19";"[-.66, .83]";".696"
"163";"GB: UK Independence Party";0,08;-0,11;0,27;0,422;".08";"[-.11, .27]";".422"
"166";"HU: Fidesz - KDNP (Fidesz – Magyar Polgári Szövetség Keresztényd)";0,24;0,16;0,32;0;".24";"[.16, .32]";".000"
"167";"HU: Jobbik (Jobbik Magyarországért Mozgalom)";0,21;0;0,4;0,054;".21";"[.00, .40]";".054"
"190";"IT: Fratelli d'Italia";0,01;-0,37;0,38;0,968;".01";"[-.37, .38]";".968"
"192";"IT: Lega Nord";-0,1;-0,32;0,13;0,388;"-.10";"[-.32, .13]";".388"
"199";"IT: Popolo delle Libertà (PdL)";0,2;0,01;0,38;0,038;".20";"[.01, .38]";".038"
"234";"NL: Party for Freedom";-0,03;-0,23;0,17;0,771;"-.03";"[-.23, .17]";".771"
"237";"NL: Reformed Political Party";0,41;-0,02;0,71;0,058;".41";"[-.02, .71]";".058"
"252";"NO: Progress Party (FRP)";0,19;0,02;0,36;0,033;".19";"[.02, .36]";".033"
"258";"PL: KORWIN";-0,13;-0,45;0,22;0,463;"-.13";"[-.45, .22]";".463"
"259";"PL: Kukiz'15";0,03;-0,17;0,23;0,763;".03";"[-.17, .23]";".763"
"298";"SE: Sverigedemokraterna";0,08;-0,12;0,28;0,422;".08";"[-.12, .28]";".422"
"311";"SI: SDS - Slovenska demokratska stranka";0,14;-0,03;0,3;0,116;".14";"[-.03, .30]";".116"
