"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"1";"AT: BZÖ";0,115856357273069;0,12331775730348;0,279745571590319;0,294051825630353;1934;6,94089316907558e-21;10;1;0
"2";"AT: did not vote";0,0846151532340734;0,0912992974539443;0,248504367551323;0,262033365780818;1934;0,0888628500895366;284;0;0
"3";"AT: Don't know";0,122425574302126;0,129827950292515;0,286314788619376;0,300562018619389;1934;0,174086783110296;35;0;0
"4";"AT: FPÖ";0,14111977037039;0,150138374451855;0,30500898468764;0,320872442778729;1934;0,25868008333807;243;1;0
"5";"AT: Grüne";0,143894528332249;0,164105497467017;0,307783742649499;0,334839565793891;1934;0,268468065913221;181;0;1
"6";"AT: NEOS";0,109997098744077;0,117554172786531;0,273886313061327;0,288288241113405;1934;-0,0086764833946892;35;0;0
"7";"AT: not eligible: age";0,124200033748153;0,135032915535378;0,288089248065403;0,305766983862251;1934;-0,0221756202546745;17;0;0
"8";"AT: not eligible: citizenship";0,14553442680823;0,16203176971084;0,30942364112548;0,332765838037714;1934;0,282579065570331;79;0;0
"9";"AT: not eligible: other";0,120447739165621;0,131419131838682;0,284336953482871;0,302153200165556;1934;-0,291729982995789;8;0;0
"10";"AT: Other";0,141944370683729;0,158258335046129;0,305833585000978;0,328992403373003;1934;0,56463854568555;17;0;0
"11";"AT: Refusal";0,163910334927715;0,177411821879608;0,327799549244964;0,348145890206481;1934;0,308063297419828;197;0;0
"12";"AT: SPÖ";0,150585866588604;0,161237087515919;0,314475080905854;0,331971155842793;1934;0,213329251497571;461;0;0
"13";"AT: Team Frank Stronach";0,111060397289101;0,118645417067405;0,274949611606351;0,289379485394279;1934;-0,0456435464587638;18;0;0
"14";"AT: ÖVP";0,0984615709205893;0,105487404542339;0,262350785237839;0,276221472869213;1934;0,114889891157258;349;0;0
"15";"BE: CD&V";0,137243798816767;0,151287338626438;0,27285435375149;0,299052398436419;1746;0,25231697789535;163;0;0
"16";"BE: CDH";0,134063860657133;0,14999348786221;0,269674415591856;0,29775854767219;1746;0,207171156970863;41;0;0
"17";"BE: did not vote";0,147617324788344;0,161526463070939;0,283227879723068;0,30929152288092;1746;0,239414528419838;118;0;0
"18";"BE: Don't know";0,103305971987676;0,110301206112218;0,2389165269224;0,258066265922199;1746;0,0138355335439509;69;0;0
"19";"BE: Ecolo";0,123201630350231;0,137721064159163;0,258812185284954;0,285486123969144;1746;0,109141432522354;60;0;1
"20";"BE: Groen!";0,1034183354787;0,110176046858937;0,239028890413424;0,257941106668918;1746;-0,0325073948461888;78;0;1
"21";"BE: MR";0,148499978964088;0,162410928626969;0,284110533898812;0,310175988436949;1746;0,237117607986189;128;0;0
"22";"BE: N-VA";0,0529099332696841;0,0510038213136138;0,188520488204408;0,198768881123594;1746;-0,032022485231682;259;1;0
"23";"BE: not eligible: age";0,119746633151279;0,125374877298476;0,255357188086003;0,273139937108457;1746;0,114545486730912;156;0;0
"24";"BE: not eligible: citizenship";0,122199548434766;0,140453398109176;0,257810103369489;0,288218457919156;1746;0,133207256825558;84;0;0
"25";"BE: not eligible: other";0,119441600907851;0,129910210348669;0,255052155842574;0,27767527015865;1746;-0,351382110749967;9;0;0
