"";"Eff";"Est.x";"CI.x";"p.x";"Est.y";"CI.y";"p.y";"Est";"CI";"p"
"1";"(Intercept)";"0.06";"[-0.22, 0.35]";"0.663";"0.07";"[-0.21, 0.36]";"0.611";"0.08";"[-0.21, 0.36]";"0.598"
"2";"age";"0.00";"[0.00, 0.00]";"0.001";"0.00";"[0.00, 0.00]";"0.000";"0.00";"[0.00, 0.00]";"0.000"
"3";"gender";"0.06";"[0.03, 0.08]";"0.000";"0.06";"[0.03, 0.08]";"0.000";"0.06";"[0.03, 0.08]";"0.000"
"4";"educ";"0.02";"[0.01, 0.02]";"0.000";"0.01";"[0.01, 0.02]";"0.000";"0.01";"[0.01, 0.02]";"0.000"
"5";"resid";"-0.08";"[-0.10, -0.05]";"0.000";"-0.06";"[-0.08, -0.04]";"0.000";"-0.06";"[-0.08, -0.04]";"0.000"
"6";"occupClerical support workers";"-0.04";"[-0.21, 0.14]";"0.687";"-0.04";"[-0.21, 0.13]";"0.646";"-0.04";"[-0.22, 0.13]";"0.632"
"7";"occupCraft and related trades workers";"-0.08";"[-0.25, 0.10]";"0.398";"-0.07";"[-0.24, 0.11]";"0.446";"-0.07";"[-0.24, 0.10]";"0.439"
"8";"occupElementary occupations";"0.01";"[-0.16, 0.19]";"0.892";"0.01";"[-0.16, 0.19]";"0.871";"0.01";"[-0.16, 0.18]";"0.900"
"9";"occupManagers";"0.00";"[-0.18, 0.18]";"0.998";"-0.02";"[-0.19, 0.16]";"0.859";"-0.02";"[-0.19, 0.15]";"0.827"
"10";"occupOther: Not in paid work";"0.16";"[-0.02, 0.34]";"0.088";"0.14";"[-0.04, 0.32]";"0.123";"0.14";"[-0.04, 0.32]";"0.127"
"11";"occupPlant and machine operators, and assemblers";"-0.07";"[-0.24, 0.11]";"0.442";"-0.06";"[-0.24, 0.11]";"0.474";"-0.07";"[-0.24, 0.11]";"0.460"
"12";"occupProfessionals";"0.10";"[-0.08, 0.27]";"0.273";"0.07";"[-0.10, 0.24]";"0.407";"0.07";"[-0.10, 0.24]";"0.432"
"13";"occupRetired";"-0.03";"[-0.22, 0.17]";"0.782";"-0.03";"[-0.23, 0.16]";"0.734";"-0.04";"[-0.23, 0.16]";"0.716"
"14";"occupService and sales workers";"-0.04";"[-0.21, 0.14]";"0.691";"-0.04";"[-0.21, 0.13]";"0.668";"-0.04";"[-0.21, 0.13]";"0.657"
"15";"occupSkilled agricultural, forestry and fishery workers";"-0.05";"[-0.23, 0.14]";"0.601";"-0.05";"[-0.24, 0.13]";"0.564";"-0.06";"[-0.24, 0.12]";"0.529"
"16";"occupTechnicians and associate professionals";"-0.03";"[-0.20, 0.15]";"0.774";"-0.03";"[-0.20, 0.14]";"0.718";"-0.03";"[-0.20, 0.14]";"0.705"
"17";"occupUnemployed";"-0.03";"[-0.24, 0.19]";"0.816";"-0.02";"[-0.23, 0.19]";"0.852";"-0.03";"[-0.24, 0.18]";"0.812"
"18";"environ.lvl1";NA;NA;NA;"0.13";"[0.12, 0.13]";"0.000";"0.12";"[0.10, 0.15]";"0.000"
