"";"group";"emmean";"CI";"p";"emmean";"CI";"p";"beta";"CI";"p"
"1";"Anti-immigration party";"-0.48";"[-0.71, -0.25]";"0.000";"-0.22";"[-0.36, -0.08]";"0.002";"0.11";"[0.07, 0.15]";"0.000"
"2";"Did not vote";"-0.03";"[-0.26, 0.20]";"0.781";"-0.12";"[-0.27, 0.02]";"0.086";"0.11";"[0.08, 0.14]";"0.000"
"3";"Don't know";"-0.06";"[-0.30, 0.18]";"0.630";"-0.15";"[-0.30, 0.01]";"0.066";"0.14";"[0.08, 0.20]";"0.000"
"4";"Invalid vote";"0.02";"[-0.71, 0.74]";"0.963";"-0.84";"[-1.56, -0.12]";"0.023";"0.17";"[-0.59, 0.93]";"0.664"
"5";"NE age";"0.25";"[0.01, 0.49]";"0.040";"0.17";"[0.01, 0.33]";"0.034";"0.15";"[0.10, 0.20]";"0.000"
"6";"NE citizen";"0.37";"[0.13, 0.61]";"0.003";"0.02";"[-0.15, 0.18]";"0.850";"0.07";"[0.01, 0.13]";"0.016"
"7";"NE other";"0.22";"[-0.05, 0.50]";"0.109";"0.07";"[-0.14, 0.29]";"0.489";"0.14";"[0.04, 0.25]";"0.008"
"8";"No answer";"0.08";"[-0.68, 0.84]";"0.839";"-0.02";"[-0.79, 0.75]";"0.961";"0.34";"[-0.11, 0.79]";"0.141"
"9";"Other party";"0.06";"[-0.16, 0.27]";"0.596";"-0.01";"[-0.13, 0.12]";"0.911";"0.13";"[0.10, 0.15]";"0.000"
"10";"Pro-environment party";"0.41";"[0.18, 0.65]";"0.000";"0.48";"[0.33, 0.63]";"0.000";"0.14";"[0.09, 0.18]";"0.000"
